Reactions|Direction|Left|Right
9019|=|2:12746,7|1:16819
9020|=|1:16819|1:16820
9021|=|1:16820|1:16821
9022|=|2:12746,7|1:16821
9023|>|1:383|1:16822
9024|>|1:16822|1:16823
9025|>|1:16823|1:16021
9026|>|1:16021|1:16824
9027|>|1:179|1:16825
9028|>|1:16825|1:16826
9029|>|1:16826|1:2546
9030|>|1:2546|1:16827
9031|>|1:3815|1:2900
9032|>|1:16824|1:15326
9033|>|1:15326|1:6196
9034|>|1:16827|1:2126
9035|>|1:6196|1:15326
9036|>|1:1340|1:2126
9037|>|1:16238|1:12792
9038|>|2:1213,7|1:142
9039|>|1:142|1:88
9040|=|1:5346|1:16833
9041|=|1:722|1:16834
9042|>|1:4314|1:248
9043|=|2:722,1709|2:16835,2601
9044|=|2:1709,3|2:2601,4
9045|>|1:334|1:13541
9046|>|1:971|1:13541
9047|=|1:16832|1:16836
9048|>|1:3366|1:228
9049|=|1:926|1:70
9050|=|2:47,3|2:420,4
9051|=|2:6467,70|2:4498,4003
9052|=|2:4085,26|3:1798,42,65
9053|=|2:3453,4|2:3685,3
9054|=|1:3453|1:3685
9055|=|2:80,639|1:942
9056|=|1:37|1:916
9057|=|1:209|1:648
9058|=|1:37|1:648
9059|=|2:29,13015|2:13017,15
9060|=|2:131,26|2:12404,25
9061|=|1:1098|1:1132
9062|=|2:4491,7|1:9652
9063|=|1:9652|1:9635
9064|=|1:3456|1:9612
9065|=|1:687|1:12347
9066|=|2:4498,4|2:6467,3
9067|=|1:4498|1:6467
9068|=|2:12983,7|1:14491
9069|=|2:9905,7|1:7579
9070|=|2:488,3255|2:1959,3482
9071|=|1:16837|1:16820
9072|=|1:7685|1:16838
9073|=|1:9660|1:16841
9074|=|1:16841|1:9665
9075|=|2:1221,274|2:14,11
9076|=|1:1765|1:13243
9077|=|2:26,60|2:42,16842
9078|=|1:16842|2:13910,3017
9079|=|3:1729,30,7|2:16843,28
9080|=|1:16843|1:16844
9081|=|2:16844,28|2:353,30
9082|=|2:25,136|3:26,135,14
9083|=|3:114,115,14|1:18
9084|=|3:114,115,62|2:18,25
9085|>|1:3045|1:16845
9086|>|1:16845|1:4090
9087|>|2:11,1|1:274
9088|>|1:16857|1:126
9089|>|1:16863|1:16862
9090|=|2:2352,116|2:16864,13
9091|>|1:2102|1:16865
9092|=|1:3521|2:3584,1164
9093|=|2:16866,9|2:469,599
9094|=|2:3524,24|2:16869,10
9095|>|1:16871|1:16248
9096|=|1:12708|2:227,214
9097|=|1:12708|2:316,65
9098|=|1:16873|2:16097,214
9099|=|1:2260|2:319,10
9100|=|1:16097|1:16099
9101|=|2:60,4|3:309,493,3
9102|=|2:60,4|2:4371,3
9103|=|2:4371,4|3:309,493,3
9104|=|1:16312|2:16878,86
9105|=|1:16312|1:16879
9106|=|1:16879|2:16878,86
9107|=|1:16880|1:16881
9108|=|2:16882,3|2:16881,4
9109|=|1:10199|1:16883
9110|>|2:1066,16197|1:16884
9111|>|1:16884|1:16885
9112|>|1:16885|1:16886
9113|>|1:16886|1:16887
9114|>|2:1066,16887|1:16888
9115|>|1:16888|1:16889
9116|>|1:16889|1:16890
9117|>|1:16890|1:16369
9118|>|1:17172|1:16368
9119|>|2:16368,41|2:969,224
9120|>|1:7690|1:7689
9121|>|1:9196|1:9194
9122|>|1:16898|1:117
9123|=|2:6977,3|2:16891,4
9124|=|2:14701,3|2:8517,4
9125|>|1:14135|1:14136
9126|=|2:16893,3|2:12868,4
9127|=|1:16893|1:12868
9128|=|1:11278|2:16894,86
9129|=|1:16895|2:16892,187
9130|=|1:16878|1:1785
9131|>|1:4968|1:225
9132|=|2:43,2352|2:103,16902
9133|>|1:17420|1:17421
9134|>|1:17421|1:28248
9135|>|1:3484|1:16904
9136|>|1:16904|1:16871
9137|=|2:24,3324|2:16923,10
9138|=|2:16908,26|2:16907,42
9139|=|2:16907,26|2:16906,42
9140|=|2:16908,26|2:16906,42
9141|=|1:92|2:271,1
9142|>|1:413|1:16772
9143|>|1:303|2:271,9277
9144|>|1:1721|1:303
9145|>|1:303|1:57
9146|>|1:271|1:16216
9147|=|1:25|1:4100
9148|=|1:16909|1:16908
9149|=|1:16909|1:16910
9150|=|2:16911,3|2:16909,4
9151|=|2:16912,26|2:16911,42
9152|=|2:16912,135|2:16913,136
9153|=|1:598|1:603
9154|=|1:16914|1:8619
9155|=|1:98|2:800,4
9156|=|2:16906,135|2:16915,136
9157|=|2:16916,3|2:16917,4
9158|>|1:188|1:86
9159|=|2:188,122|2:493,123
9160|=|1:3283|1:16918
9161|=|1:673|1:16919
9162|=|1:16919|1:16920
9163|=|1:673|1:16920
9164|>|1:2024|1:3366
9165|=|2:81,3894|1:16921
9166|=|2:1615,1066|2:4233,10
9167|=|2:81,16903|2:16922,10
9168|=|2:24,3267|2:4429,10
9169|=|2:2613,16902|1:16924
9170|=|2:321,16925|2:13,16914
9171|=|1:333|2:4002,13
9172|=|1:316|2:227,41
9173|=|2:316,48|2:227,37
9174|>|1:76|1:313
9175|>|1:313|1:850
9176|=|2:61,16926|2:16927,13
9177|=|2:73,14596|2:13,199
9178|=|2:16869,16928|2:103,16929
9179|>|1:16905|1:16930
9180|>|1:16930|1:16931
9181|=|1:16869|2:16932,15
9182|=|2:199,16929|1:16935
9183|=|2:12304,3|2:157,4
9184|>|1:622|1:2521
9185|>|1:4769|1:16905
9186|=|1:4498|2:14728,14729
9187|=|2:16938,30|2:16939,28
9188|=|2:16940,13|1:2681
9189|=|1:16940|1:16941
9190|=|1:16941|1:16943
9191|=|1:16940|1:16942
9192|=|1:16942|1:16943
9193|=|1:16940|1:16943
9194|=|2:24,16945|2:16944,10
9195|=|2:16944,230|2:16946,13
9196|=|1:57|2:92,3964
9197|>|1:8971|1:8974
9198|>|1:16931|1:16948
9199|>|1:16948|1:1018
9200|>|1:8974|2:92,65
9201|>|1:16865|1:16863
9202|=|1:1120|1:626
9203|=|2:1640,13370|2:16954,237
9204|>|1:16955|2:26,10
9205|>|1:2885|1:16955
9206|>|1:11026|1:1303
9207|>|1:16958|1:1303
9208|>|1:16957|1:16958
9209|>|1:16956|1:16957
9210|>|1:8934|1:16956
9211|=|1:11026|1:16949
9212|=|1:16951|1:8934
9213|=|2:15332,24|3:15329,232,10
9214|=|2:325,3|2:195,4
9215|=|2:2012,3|2:157,4
9216|=|1:13895|1:16959
9217|>|1:16961|1:16960
9218|=|1:8481|1:3968
9219|=|1:14701|1:8481
9220|=|1:16962|1:16963
9221|=|1:16964|1:16962
9222|=|1:6869|1:16965
9223|=|2:188,122|2:86,123
9224|=|1:16967|1:16966
9225|=|1:13896|1:776
9226|>|1:219|2:14283,10
9227|=|2:219,81|2:9853,10
9228|=|1:1175|1:4576
9229|=|2:13520,6465|2:217,16968
9230|=|2:219,12278|2:16969,10
9231|=|1:81|2:16970,10
9232|>|1:81|2:16961,10
9233|=|2:52,4345|2:6499,15
9234|>|1:16784|2:7029,13
9235|>|1:269|1:610
9236|>|3:232,412,10|2:99,24
9237|=|2:16971,9|2:12326,608
9238|=|1:12543|2:48,14
9239|=|3:80,30,19|5:12543,1249,3850,71,28
9240|=|3:9245,12543,12548|2:16763,12544
9241|>|1:16742|1:8289
9242|>|1:16973|1:13611
9243|>|1:8289|1:8290
9244|>|1:13611|1:8288
9245|>|1:16972|1:8266
9246|>|1:542|1:16742
9247|>|1:2117|1:16973
9248|>|1:14595|1:16974
9249|=|2:186,12278|2:16975,15
9250|=|2:186,6499|2:16976,15
9251|>|1:365|1:7946
9252|>|1:6457|1:16977
9253|>|1:1283|1:8031
9254|>|1:6457|1:6492
9255|=|2:29,12278|2:4691,15
9256|=|2:29,12278|2:16979,15
9257|=|2:29,16980|2:16981,15
9258|=|2:29,16975|2:16982,15
9259|=|1:43|1:3511
9260|=|1:3696|1:4
9261|=|1:3726|3:20,9,5
9262|=|1:16983|2:16790,1
9263|>|1:2642|2:3128,9
9264|=|1:418|2:16984,13
